Energy_keV,Angle_deg
809.266,0.122827
789.67,0.0209561
743.823,0.059457
793.098,0.0901508
78.2038,0.0355195
460.33,4.79867
699.808,0.0444502
799.998,0.0142071
857.618,0.0539799
730.896,0.0099514
1074.23,0.0312423
701.748,0.101015
716.865,0.0610463
799.707,0.0770992
754.713,0.0234282
843.818,0.00811683
660.685,0.131783
787.925,0.0902051
738.544,0.0690341
771.054,0.11375
938.703,0.048344
753.764,0.123438
881.471,0.140928
712.868,0.0311173
462.45,0.0220356
270.227,0.0572629
131.91,8.81395
61.1534,8.97638
86.7703,17.8607
4.94925,7.25281
706.338,0.0911748
735.649,0.0534714
994.775,0.020886
734.469,0.0673028
753.384,0.0783661
761.669,0.0265126
721.026,0.0789796
681.108,0.0385253
770.004,0.124128
829.115,0.0421996
672.324,0.0329227
799.149,0.01098
97.8436,0.00721797
29.146,24.5819
23.5826,23.1805
18.479,25.2363
1139.5,0.0452065
820.939,0.0646589
734.337,0.0941539
788.137,0.0742827
852.638,0.111363
702.613,0.137287
708.573,0.103112
1251.83,0.0880177
773.368,0.0310152
698.047,0.0241396
706.772,0.14781
766.718,0.157772
384.44,0.0468532
530.486,0.0910009
104.624,23.4448
266.497,41.0542
191.011,72.5464
154.915,129.642
93.792,11.4384
71.0375,31.4195
64.581,69.5966
126.089,16.281
19.0606,22.8214
10.371,0
33.8802,0
737.666,0.0547574
989.452,0.0540533
720.439,0.061965
786.385,0.0423479
739.049,0.0840212
927.201,0.0388456
665.065,0.0106377
746.87,0.112183
1010.99,0.0401505
809.398,0.0158638
735.635,0.0287689
844.125,0.0642963
926.341,0.0384484
686.082,0.0104601
542.9,0.0459555
138.889,0.0201271
81.0684,23.7533
61.6643,89.556
61.9418,31.6632
76.8803,17.6156
80.4266,59.4928
120.876,48.8333
237.89,107.5
413.772,0
686.114,0.042155
742.447,0.0820501
701.243,0.128337
672.829,0.0737863
812.332,0.053804
761.685,0.0721192
615.306,0.0439523
674.164,0.0707501
808.127,0.00647387
522.991,0.0102266
211.248,0.0290506
130.85,11.4029
84.9947,7.50409
66.9712,26.7754
1.21489,0.558487
743.899,0.0871755
916.447,0.104304
717.36,0.02122
767.094,0.0612351
649.994,0.0413697
825.248,0.0304989
656.433,0.0830432
818.897,0.111102
877.772,0.0808544
1430.02,0.0241232
919.571,0.0423484
963.826,0.0937604
762.147,0.0507372
1086.07,0.132298
733.532,0.0566135
395.533,0.059757
103.946,0.0211794
220.509,0.0180121
158.992,28.9347
102.627,20.3349
30.5842,90.0523
29.3185,15.8254
32.4751,37.9903
42.1505,20.6066
48.5742,49.8272
40.7948,44.8067
73.1804,53.2432
113.305,40.556
442.7,0
550.884,78.7565
87.6383,68.5317
134.003,49.6543
524.04,0
914.34,0.0525694
973.917,0.121062
772.343,0.0180658
674.472,0.0632343
746.059,0.0084307
853.859,0.083799
803.961,0.0522945
784.386,0.015473
636.088,0.0596326
1113.74,0.10511
697.785,0.192693
746.925,0.0615792
963.861,0.141407
902.595,0.0463723
692.616,0.0809033
632.69,0.0316885
878.226,0.134417
1366.81,0.0618022
1142.89,0.0175666
861.966,0.0576692
801.377,0.0295602
752.56,0.0896363
756.865,0.68098
811.885,0.0330606
889.721,0.0285937
825.445,0.0431906
682.982,0.0651404
1158.62,0.0794184
1133.47,0.105851
690.236,0.0203511
1362.25,0.119386
694.85,0.0657203
1128.6,0.0998484
695.433,0.0989991
780.55,0.0151183
774.258,0.0492928
702.853,0.109712
143.406,0.0555233
172.626,7.42471
1658.38,0.0521879
892.404,0.0553444
865.07,0.0851114
933.697,0.0522794
624.513,0.0747952
953.399,0.0844855
501.61,0.0556901
358.21,0.0283755
155.812,34.714
111.197,26.0862
85.3251,9.78784
140.161,4.90983
61.4559,24.1811
202.436,169.277
178.454,0
106.302,0
791.884,0.0367757
1013.17,0.0502948
835.15,0.0120726
746.58,0.0974878
3.15273,9.46937
1.80884,49.888
3.47958,53.557
3.40125,11.0662
1.82858,28.3851
0.437515,50.2008
1.25145,30.2683
1.7255,23.9554
1.38061,46.5605
2.40683,11.5596
1.35169,8.3303
0.514678,42.5507
2.36854,75.5864
5.16477,28.2793
1.62905,25.623
4.06384,101.053
2.9107,5.15529
1.46832,38.4378
4.27281,40.8539
4.14277,76.4989
3.42107,92.483
11.627,60.6607
3.93974,56.8172
0.015256,8.27931
828.285,0.0316649
675.619,0.0520404
0.0149051,11.336
0.0404887,12.6265
0.0806957,40.8887
0.0317374,38.2989
0.215504,21.3838
0.0575161,22.9117
0.850912,10.0595
2.45836,5.99807
0.44324,20.4811
0.0454555,22.8611
0.659369,15.077
0.665968,28.3644
0.299999,67.7767
0.338027,40.6031
0.441829,22.1511
1.24948,58.5331
4.08504,0
749.665,0.0469948
726.436,0.0520886
638.924,0.0615106
739.066,0.0414503
878.202,0.0852543
704.292,0.0841029
723.359,0.119698
680.528,0.0687194
757.98,0.0595909
713.654,0.0102401
933.601,0.0707959
782.474,0.0123389
754.978,0.0698294
721.199,0.0933577
719.489,0.0972407
506.888,0.0560729
297.001,0.0160202
122.669,58.139
400.719,69.7561
298.729,0
737.742,0.0523533
792.596,0.0639666
226.77,0.0836424
425.518,0.0137476
177.159,8.90371
245.395,17.5769
16.6101,1.82077
163.204,31.7326
72.3717,11.112
60.8929,57.4195
36.5676,36.7717
