Energy_keV,Angle_deg
256.891,0.0685005
688.849,0.0257358
574.421,0.0792494
164.54,0.0336384
101.113,14.805
50.6316,16.5348
39.1556,10.8314
921.661,0.0766126
837.061,0.0636748
834.887,0.0772399
835.24,0.0622478
748.852,0.0459795
719.175,0.102459
0.044342,48.4473
0.0276921,24.5909
0.0132187,4.23298
0.0935694,35.4451
0.0455622,6.53395
375.965,0.0718158
487.652,0.0489182
131.93,0.151976
120.692,0.722474
695.514,0.0258124
168.352,0.0502576
539.937,0.0573491
156.488,15.4014
216.233,30.5287
140.848,46.1536
112.142,5.74771
835.939,0.017418
706.706,0.0647319
332.168,0.0304019
472.905,0.0676801
866.845,0.0458764
155.847,0.0383143
572.344,0.0169031
15.8139,0.0150615
777.729,0.0422801
890.986,0.0363392
538.253,0.0256195
325.552,0.0178553
10.371,0
113.582,92.29
534.552,0
10.371,0
53.0117,0
114.112,0.0272264
76.2118,0.0194542
153.15,0.0123266
387.759,0.0202697
42.7717,0.00504245
652.56,0.0360046
940.771,0.0768996
110.311,0.0295011
83.6038,0.00954903
520.139,0.0248788
79.6174,0.0231596
123.759,11.8967
148.551,20.9376
149.5,107.919
150.105,34.7878
202.936,30.1673
142.85,96.1686
121.398,78.0437
468.762,0
53.1906,31.7333
86.4305,63.5221
246.948,25.3294
156.493,11.0099
87.3346,21.5208
126.112,28.2126
192.441,19.4335
100.911,127.749
356.839,0
490.647,0.0302193
282.026,0.0307728
804.74,0.0560979
888.654,0.0408981
328.862,0.0385325
411.299,0.0347623
35.9696,0.0174419
56.2008,0.0094742
972.285,0.0160938
1329.47,0.0302275
352.149,14.6435
33.4374,4.2307
804.453,0.017861
1012.42,0.0741065
923.411,0.0921416
260.681,0.0846008
521.119,0.0802008
225.504,0.0616234
638.027,0.0506413
329.5,0.0503706
529.513,0.075081
941.173,0.05454
1065.88,0.0700372
703.782,0.0224474
59.7524,0.0122271
752.444,0.116233
877.938,0.0694311
870.843,0.0713004
944.438,0.0609124
812.278,0.0689932
849.72,0.042012
1036.57,0.0436147
654.844,0.0079983
506.859,0.0118443
47.9278,0.018119
149.824,0.0127887
328.146,0.0443013
404.293,0.0873244
240.585,0.370454
126.541,0.337042
282.694,0.321752
763.251,0.0997054
246.439,0.0114361
723.201,0.051459
852.795,0.0428222
840.905,0.0250919
803.563,0.0371126
673.617,0.0699692
126.446,0.0240751
630.998,0.119687
77.7765,0.0173845
824.677,0.036019
255.306,0.0357045
381.574,0.0507649
678.674,0.030516
1164.25,0.0402662
703.178,0.0468156
458.236,0.0289225
639.679,0.0366592
183.565,51.3895
151.487,4.14101
120.318,21.6649
117.839,22.6445
89.9955,3.70244
74.1404,14.2631
88.338,22.0743
144.87,9.9191
60.0634,50.9185
90.8776,73.8083
127.988,54.3615
414.305,0.0641632
344.076,0.0244675
631.21,0.0369713
283.709,0.0326316
740.896,0.0650914
733.527,0.0184743
100.029,0.0385172
805.019,0.0192293
740.197,0.046656
532.125,0.0791832
190.255,0.0216221
940,0.0585383
14.3822,0.00393202
812.529,0.0790052
725.565,0.107035
1119.68,0.0329026
601.154,0.0706094
119.233,0.0712192
618.762,0.0820323
225.091,0.0327932
747.239,0.0305829
783.466,0.100396
339.192,0.0137324
520.587,0.0303231
779.111,0.0371361
506.534,0.0602098
457.607,0.0316482
816.455,0.0189929
118.412,0.0404093
77.764,0.0187301
512.145,0.050048
720.724,0.094661
561.889,0.0404006
493.079,0.00788284
68.9006,86.4658
94.0216,26.6514
70.4247,41.4197
66.7584,3.3302
89.7028,6.93472
68.1795,57.4734
66.3639,10.4755
102.87,30.3222
158.174,76.5568
176.5,25.9671
172.711,53.6136
183.532,46.7552
116.341,154.408
71.7529,17.0154
114.333,149.683
145.469,77.5953
137.105,62.8159
486.733,0
668.332,0.0268329
651.207,0.0797322
51.9449,0.0103811
164.616,0.0437997
506.298,0.0475662
207.408,13.6916
275.665,38.3698
204.534,7.39177
1175.85,0.07899
606.49,0.0378585
1005.88,0.0283283
759.259,0.0957666
808.314,0.0970536
1353.38,0.0733393
198.482,0.0514106
452.086,0.0433856
61.9559,0.0122788
790.322,0.0126103
